,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
0,48693,946549.9433,,,post_test_started,
1,48694,946563.1615,,,BuzzWireHit,
2,48695,946592.3044,,,LeftSwitchPressed,
3,48696,946604.0678,,,LeftSwitchPressed,
4,48697,946635.0322,,,LeftSwitchPressed,
5,48698,946645.9953,,,LeftSwitchPressed,
6,48699,946673.3069,,,LeftSwitchPressed,
7,48700,946687.7787,,,LeftSwitchPressed,
8,48701,946701.259,,,LeftSwitchPressed,
9,48702,946730.1636,,,LeftSwitchPressed,
10,48703,946743.3436,,,LeftSwitchPressed,
11,48704,946771.5456,,,LeftSwitchPressed,
12,48705,946785.1277,,,LeftSwitchPressed,
13,48706,946812.4037,,,LeftSwitchPressed,
14,48707,946826.895,,,LeftSwitchPressed,
15,48708,946840.655,,,LeftSwitchPressed,
16,48709,946870.1978,,,LeftSwitchPressed,
17,48710,946883.1365,,,LeftSwitchPressed,
18,48711,946911.064,,,LeftSwitchPressed,
19,48712,946924.5,,,LeftSwitchPressed,
20,48713,946951.9289,,,LeftSwitchPressed,
21,48714,946965.9144,,,LeftSwitchPressed,
22,48715,946994.3914,,,LeftSwitchPressed,
23,48716,947007.4863,,,LeftSwitchPressed,
24,48717,947021.8562,,,LeftSwitchPressed,
25,48718,947050.7246,,,LeftSwitchPressed,
26,48719,947063.1485,,,LeftSwitchPressed,
27,48720,947091.0813,,,LeftSwitchPressed,
28,48721,947105.7576,,,LeftSwitchPressed,
29,48722,947133.366,,,LeftSwitchPressed,
30,48723,947148.0487,,,LeftSwitchPressed,
31,48724,947162.5852,,,LeftSwitchPressed,
32,48725,947189.9985,,,LeftSwitchPressed,
33,48726,947209.0008,,,LeftSwitchPressed,
34,48727,947231.2963,,,LeftSwitchPressed,
35,48728,947242.391051952,94.0,663.0,,
36,48729,947244.7832,,,LeftSwitchPressed,
37,48730,947272.3314,,,LeftSwitchPressed,
38,48731,947287.3124,,,LeftSwitchPressed,
39,48732,947300.7812,,,LeftSwitchPressed,
40,48733,947328.794,,,LeftSwitchPressed,
41,48734,947345.8047,,,LeftSwitchPressed,
42,48735,947369.2564,,,LeftSwitchPressed,
43,48736,947383.7211,,,LeftSwitchPressed,
44,48737,947412.4016,,,LeftSwitchPressed,
45,48738,947425.415,,,LeftSwitchPressed,
46,48739,947452.8674,,,LeftSwitchPressed,
47,48740,947468.0141,,,LeftSwitchPressed,
48,48741,947481.1668,,,LeftSwitchPressed,
49,48742,947509.3481,,,LeftSwitchPressed,
50,48743,947523.2799,,,LeftSwitchPressed,
51,48744,947550.8459,,,LeftSwitchPressed,
52,48745,947565.5072,,,LeftSwitchPressed,
53,48746,947591.9632,,,LeftSwitchPressed,
