,Participant_ID,Level,Mistake_Number,Mistake_Time_Stamp,Event_GSR,Event_HR,Event_RMSSD,Event_SDNN,Event_Mean_NNI,Event_LFN,Event_HFN,Event_LFHF_Ratio,Event_GSR_Peaks_Count,Event_GSR_Peak_Amplitude
0,2D0804,Pretest,11,333156.68,4.625475424696872,70.63636363636364,2095.2372180734096,1409.8833478502588,913.6363636363636,45.65172830055213,54.34827169944786,0.8399849134671916,2,
1,2D0804,Pretest,17,334636.1222,4.511281764120303,70.72727272727273,2089.499700885358,1409.8833478502588,913.6363636363636,43.75291050196791,56.247089498032096,0.7778697687726346,2,0.5416884508779769
2,2D0804,Pretest,58,341155.4741,4.272591283947648,72.42857142857143,1101.403335609761,815.2198786520423,820.7142857142857,24.391054661597835,75.60894533840217,0.3225948272711786,3,0.39674470798701583
3,2D0804,Pretest,69,342416.5884,4.233397731062498,72.64285714285714,1101.9842941781812,784.685210209087,861.5714285714286,23.392130479798194,76.6078695202018,0.305348923371764,3,
4,2D0804,Pretest,113,343316.138,4.172729705529684,72.85714285714286,1113.3451327487737,784.685210209087,861.5714285714286,24.66567197985093,75.33432802014907,0.3274161013721899,2,0.19299943479397966
5,2D0804,Pretest,119,343443.0899,4.162970624599213,72.85714285714286,1113.3451327487737,784.685210209087,861.5714285714286,24.66567197985093,75.33432802014907,0.3274161013721899,2,0.18823618857431934
6,2D0804,Pretest,134,343756.4815,4.139392567201556,73.0,1076.7765165839505,738.0488212171333,845.9375,28.115252725059275,71.88474727494071,0.3911156927007846,2,0.18055002497570652
7,2D0804,Pretest,143,344116.8179,4.1145680236398405,73.13333333333334,1011.1944492953442,727.3937494003276,902.3333333333334,27.09877261179462,72.90122738820538,0.37171901739721463,2,0.16378702017915261
8,2D0804,Pretest,147,348517.377,3.98201236263906,73.76923076923077,622.5884809942011,502.56518903597885,640.4615384615385,37.45786090731229,62.54213909268771,0.598921966065145,2,0.5179954374188179
9,2D0804,Level 1,3,1157915.759,6.103902630462495,88.0,1125.3605644414592,868.6629747124966,827.8181818181819,27.41262638022683,72.58737361977317,0.3776500652003131,2,
10,2D0804,Level 1,5,1157957.06,6.10386673430156,88.0,1125.3605644414592,868.6629747124966,827.8181818181819,27.41262638022683,72.58737361977317,0.3776500652003131,2,
11,2D0804,Level 1,7,1158000.398,6.103591530410936,88.0,1125.3605644414592,868.6629747124966,827.8181818181819,27.41262638022683,72.58737361977317,0.3776500652003131,2,
12,2D0804,Level 1,9,1158041.637,6.102941411076561,88.0,1125.3605644414592,868.6629747124966,827.8181818181819,27.41262638022683,72.58737361977317,0.3776500652003131,2,
13,2D0804,Level 1,11,1158097.106,6.1017049878039025,88.0,1125.3605644414592,868.6629747124966,827.8181818181819,27.41262638022683,72.58737361977317,0.3776500652003131,3,
14,2D0804,Level 1,13,1158139.312,6.1005563106976535,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
15,2D0804,Level 1,14,1158180.165,6.099188268170311,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
16,2D0804,Level 1,17,1158236.168,6.096559871594529,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
17,2D0804,Level 1,19,1158277.431,6.094681305909374,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
18,2D0804,Level 1,21,1158319.351,6.092639213274217,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
19,2D0804,Level 1,23,1158361.464,6.0899549782296845,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
20,2D0804,Level 1,26,1158417.438,6.08651692383359,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
21,2D0804,Level 1,28,1158459.202,6.083856619562495,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
22,2D0804,Level 1,30,1158501.089,6.0810287998796815,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
23,2D0804,Level 1,33,1158556.303,6.076246633728899,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
24,2D0804,Level 1,35,1158598.267,6.073127656307023,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
25,2D0804,Level 1,37,1158640.988,6.069908967329679,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
26,2D0804,Level 1,39,1158681.933,6.065908539764836,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
27,2D0804,Level 1,42,1158737.936,6.061142327462496,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,3,
28,2D0804,Level 1,44,1158778.953,6.0576763538320275,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,2,0.5823560277360572
29,2D0804,Level 1,46,1158820.937,6.054154541730468,88.0,1163.6722047037129,912.9175909017077,695.5555555555555,47.54128178429507,52.45871821570493,0.9062608352116067,2,0.5843086976679094
