,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
7538,60713,572911.582,,,LeftSwitchPressed,
7539,60714,572916.3082,,,,3.168498168
7540,60715,572924.1207,,,,3.167032967
7541,60716,572931.9332,,,,3.168498168
7542,60717,572939.7457,,,,3.167032967
7543,60718,572947.5582,,,,3.168498168
7544,60719,572955.3707,,,,3.168498168
7545,60720,572963.1832,,,,3.167032967
7546,60721,572970.9957,,,,3.16996337
7547,60722,572978.8082,,,,3.168498168
7548,60723,572986.6207,,,,3.167032967
7549,60724,572994.4332,,,,3.168498168
7550,60725,573002.2457,,,,3.167032967
7551,60726,573010.0582,,,,3.168498168
7552,60727,573017.8707,,,,3.167032967
7553,60728,573025.6832,,,,3.167032967
7554,60729,573033.4957,,,,3.16996337
7555,60730,573041.3082,,,,3.167032967
7556,60731,573049.1207,,,,3.167032967
7557,60732,573056.9332,,,,3.167032967
7558,60733,573064.7457,,,,3.167032967
7559,60734,573072.5582,,,,3.168498168
7560,60735,573080.3707,,,,3.167032967
7561,60736,573088.1832,,,,3.168498168
7562,60737,573095.9957,,,,3.167032967
7563,60738,573103.8082,,,,3.167032967
7564,60739,573111.6207,,,,3.168498168
7565,60740,573119.4332,,,,3.165567766
7566,60741,573127.2457,,,,3.16996337
7567,60742,573135.0582,,,,3.167032967
7568,60743,573142.8707,,,,3.167032967
7569,60744,573150.6832,,,,3.167032967
7570,60745,573158.4957,,,,3.165567766
7571,60746,573166.3082,,,,3.167032967
7572,60747,573174.1207,,,,3.167032967
7573,60748,573181.9332,,,,3.167032967
7574,60749,573189.7457,,,,3.167032967
7575,60750,573197.5582,,,,3.167032967
7576,60751,573205.3707,,,,3.167032967
7577,60752,573213.1832,,,,3.167032967
7578,60753,573220.9957,,,,3.165567766
7579,60754,573228.8082,,,,3.168498168
7580,60755,573236.6207,,,,3.167032967
7581,60756,573244.4332,,,,3.167032967
7582,60757,573252.2457,,,,3.167032967
7583,60758,573260.0582,,,,3.167032967
7584,60759,573267.8707,,,,3.167032967
7585,60760,573275.6832,,,,3.167032967
7586,60761,573283.4957,,,,3.167032967
7587,60762,573291.3082,,,,3.168498168
7588,60763,573299.1207,,,,3.167032967
7589,60764,573306.9332,,,,3.167032967
7590,60765,573314.7457,,,,3.165567766
7591,60766,573322.5582,,,,3.167032967
7592,60767,573330.3707,,,,3.165567766
7593,60768,573338.1832,,,,3.167032967
7594,60769,573345.9957,,,,3.165567766
7595,60770,573353.8082,,,,3.167032967
7596,60771,573361.6207,,,,3.165567766
7597,60772,573369.4332,,,,3.165567766
7598,60773,573377.2457,,,,3.165567766
7599,60774,573385.0582,,,,3.167032967
7600,60775,573392.8707,,,,3.165567766
7601,60776,573400.6832,,,,3.165567766
7602,60777,573408.4957,,,,3.165567766
7603,60778,573416.3082,,,,3.165567766
7604,60779,573424.1207,,,,3.165567766
7605,60780,573431.9332,,,,3.165567766
7606,60781,573439.7457,,,,3.164102564
7607,60782,573447.5582,,,,3.167032967
7608,60783,573455.3707,,,,3.165567766
7609,60784,573463.1832,,,,3.165567766
7610,60785,573470.9957,,,,3.165567766
7611,60786,573478.8082,,,,3.167032967
7612,60787,573482.7667,71.0,800.0,,
7613,60788,573486.6207,,,,3.165567766
7614,60789,573494.4332,,,,3.165567766
7615,60790,573502.2457,,,,3.165567766
7616,60791,573510.0582,,,,3.167032967
7617,60792,573517.8707,,,,3.165567766
7618,60793,573525.6832,,,,3.165567766
7619,60794,573533.4957,,,,3.167032967
7620,60795,573541.3082,,,,3.167032967
7621,60796,573549.1207,,,,3.167032967
7622,60797,573556.9332,,,,3.165567766
7623,60798,573564.7457,,,,3.164102564
7624,60799,573572.5582,,,,3.168498168
7625,60800,573580.3707,,,,3.165567766
7626,60801,573588.1832,,,,3.165567766
7627,60802,573595.9957,,,,3.167032967
7628,60803,573603.8082,,,,3.167032967
7629,60804,573611.6207,,,,3.167032967
7630,60805,573619.4332,,,,3.165567766
7631,60806,573627.2457,,,,3.165567766
7632,60807,573635.0582,,,,3.167032967
7633,60808,573642.8707,,,,3.167032967
7634,60809,573650.6832,,,,3.165567766
7635,60810,573658.4957,,,,3.167032967
7636,60811,573666.3082,,,,3.165567766
7637,60812,573674.1207,,,,3.165567766
7638,60813,573681.9332,,,,3.165567766
7639,60814,573689.7457,,,,3.168498168
7640,60815,573697.5582,,,,3.165567766
7641,60816,573705.3707,,,,3.165567766
7642,60817,573713.1832,,,,3.167032967
