,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
6024,98739,693411.9939,,,LeftSwitchPressed,
6025,98740,693418.5602,,,,11.254483031486512
6026,98741,693426.3727,,,,11.264693494658648
6027,98742,693434.1852,,,,11.264693494658648
6028,98743,693441.9977,,,,11.26979872624472
6029,98744,693449.8102,,,,11.26979872624472
6030,98745,693457.6227,,,,11.274903957830787
6031,98746,693465.4352,,,,11.280009189416852
6032,98747,693469.001157845,75.0,776.0,,
6033,98748,693473.2477,,,,11.285114421002922
6034,98749,693481.0602,,,,11.285114421002922
6035,98750,693488.8727,,,,11.29021965258899
6036,98751,693496.6852,,,,11.29021965258899
6037,98752,693504.4977,,,,11.29532488417506
6038,98753,693512.3102,,,,11.29532488417506
6039,98754,693520.1227,,,,11.305535347347195
6040,98755,693527.9352,,,,11.305535347347195
6041,98756,693535.7477,,,,11.305535347347195
6042,98757,693543.5602,,,,11.310640578933262
6043,98758,693551.3727,,,,11.3208510421054
6044,98759,693559.1852,,,,11.31574581051933
6045,98760,693566.9977,,,,11.3208510421054
6046,98761,693574.8102,,,,11.3208510421054
6047,98762,693582.6227,,,,11.336166736863598
6048,98763,693590.4352,,,,11.336166736863598
6049,98764,693598.2477,,,,11.34127196844967
6050,98765,693606.0602,,,,11.34127196844967
6051,98766,693613.8727,,,,11.346377200035734
6052,98767,693621.6852,,,,11.346377200035734
6053,98768,693629.4977,,,,11.351482431621804
6054,98769,693637.3102,,,,11.356587663207872
6055,98770,693645.1227,,,,11.36169289479394
6056,98771,693652.9352,,,,11.356587663207872
6057,98772,693660.7477,,,,11.36169289479394
6058,98773,693668.5602,,,,11.371903357966072
6059,98774,693676.3727,,,,11.377008589552142
6060,98775,693684.1852,,,,11.371903357966072
6061,98776,693691.9977,,,,11.377008589552142
6062,98777,693699.8102,,,,11.377008589552142
6063,98778,693707.6227,,,,11.387219052724278
6064,98779,693715.4352,,,,11.387219052724278
6065,98780,693723.2477,,,,11.387219052724278
6066,98781,693731.0602,,,,11.392324284310348
6067,98782,693738.8727,,,,11.402534747482482
6068,98783,693746.6852,,,,11.397429515896414
6069,98784,693754.4977,,,,11.402534747482482
6070,98785,693762.3102,,,,11.407639979068549
6071,98786,693770.1227,,,,11.422955673826753
6072,98787,693777.9352,,,,11.422955673826753
6073,98788,693785.7477,,,,11.428060905412815
6074,98789,693793.5602,,,,11.433166136998889
6075,98790,693801.3727,,,,11.438271368584957
6076,98791,693809.1852,,,,11.438271368584957
6077,98792,693816.9977,,,,11.438271368584957
6078,98793,693824.8102,,,,11.443376600171026
6079,98794,693832.6227,,,,11.453587063343162
6080,98795,693840.4352,,,,11.448481831757093
6081,98796,693848.2477,,,,11.453587063343162
6082,98797,693856.0602,,,,11.448481831757093
6083,98798,693863.8727,,,,11.45869229492923
6084,98799,693871.6852,,,,11.45869229492923
6085,98800,693879.4977,,,,11.463797526515291
6086,98801,693887.3102,,,,11.468902758101365
6087,98802,693895.1227,,,,11.474007989687433
6088,98803,693902.9352,,,,11.468902758101365
6089,98804,693910.7477,,,,11.474007989687433
6090,98805,693918.5602,,,,11.468902758101365
6091,98806,693926.3727,,,,11.4791132212735
6092,98807,693934.1852,,,,11.4791132212735
6093,98808,693941.9977,,,,11.4791132212735
6094,98809,693949.8102,,,,11.4791132212735
6095,98810,693957.6227,,,,11.489323684445637
6096,98811,693965.4352,,,,11.484218452859569
6097,98812,693967.425157845,76.0,772.0,,
6098,98813,693967.425157845,76.0,750.0,,
6099,98814,693973.2477,,,,11.484218452859569
6100,98815,693981.0602,,,,11.484218452859569
6101,98816,693988.8727,,,,11.494428916031705
6102,98817,693996.6852,,,,11.489323684445637
6103,98818,694004.4977,,,,11.499534147617773
6104,98819,694012.3102,,,,11.494428916031705
6105,98820,694020.1227,,,,11.499534147617773
6106,98821,694027.9352,,,,11.499534147617773
6107,98822,694035.7477,,,,11.50463937920384
6108,98823,694043.5602,,,,11.499534147617773
6109,98824,694051.3727,,,,11.509744610789904
6110,98825,694059.1852,,,,11.509744610789904
6111,98826,694066.9977,,,,11.514849842375972
6112,98827,694074.8102,,,,11.525060305548108
6113,98828,694082.6227,,,,11.519955073962045
6114,98829,694090.4352,,,,11.525060305548108
6115,98830,694098.2477,,,,11.530165537134176
6116,98831,694106.0602,,,,11.530165537134176
6117,98832,694113.8727,,,,11.540376000306312
6118,98833,694121.6852,,,,11.535270768720244
6119,98834,694129.4977,,,,11.54548123189238
6120,98835,694137.3102,,,,11.550586463478448
6121,98836,694145.1227,,,,11.555691695064516
6122,98837,694152.9352,,,,11.555691695064516
6123,98838,694160.7477,,,,11.560796926650584
6124,98839,694168.5602,,,,11.565902158236652
6125,98840,694176.3727,,,,11.57100738982272
6126,98841,694184.1852,,,,11.565902158236652
6127,98842,694191.9977,,,,11.581217852994856
6128,98843,694199.8102,,,,11.576112621408788
6129,98844,694207.6227,,,,11.586323084580924
6130,98845,694215.4352,,,,11.581217852994856
6131,98846,694223.2477,,,,11.586323084580924
6132,98847,694231.0602,,,,11.591428316166992
6133,98848,694238.8727,,,,11.59653354775306
6134,98849,694246.6852,,,,11.59653354775306
6135,98850,694254.4977,,,,11.606744010925194
6136,98851,694262.3102,,,,11.601638779339128
6137,98852,694270.1227,,,,11.611849242511262
6138,98853,694277.9352,,,,11.611849242511262
6139,98854,694285.7477,,,,11.61695447409733
6140,98855,694293.5602,,,,11.61695447409733
6141,98856,694301.3727,,,,11.627164937269466
6142,98857,694309.1852,,,,11.627164937269466
