,index,Timestamp,Heart rate,R-R interval,MarkerName,GSR Conductance CAL
6932,130895,894378.0843,,,,2.46080586080586
6933,130896,894385.8968,,,,2.459340659340659
6934,130897,894393.7093,,,,2.457875457875458
6935,130898,894401.5218,,,,2.4549450549450547
6936,130899,894409.3343,,,,2.4549450549450547
6937,130900,894417.1468,,,,2.452014652014652
6938,130901,894424.9593,,,,2.4505494505494503
6939,130902,894432.7718,,,,2.4490842490842493
6940,130903,894440.5843,,,,2.447619047619048
6941,130904,894448.3968,,,,2.444688644688645
6942,130905,894456.2093,,,,2.444688644688645
6943,130906,894464.0218,,,,2.441758241758241
6944,130907,894471.8343,,,,2.441758241758241
6945,130908,894479.6468,,,,2.44029304029304
6946,130909,894487.4593,,,,2.4373626373626367
6947,130910,894495.2718,,,,2.435897435897436
6948,130911,894503.0843,,,,2.434432234432234
6949,130912,894510.8968,,,,2.4329670329670323
6950,130913,894518.7093,,,,2.434432234432234
6951,130914,894526.5218,,,,2.4285714285714284
6952,130915,894534.3343,,,,2.4300366300366303
6953,130916,894542.1468,,,,2.4285714285714284
6954,130917,894549.9593,,,,2.424175824175824
6955,130918,894557.7718,,,,2.424175824175824
6956,130919,894565.5843,,,,2.4227106227106225
6957,130920,894573.3968,,,,2.4212454212454206
6958,130921,894581.2093,,,,2.41978021978022
6959,130922,894589.0218,,,,2.4168498168498167
6960,130923,894596.8343,,,,2.4168498168498167
6961,130924,894604.6468,,,,2.4139194139194133
6962,130925,894612.4593,,,,2.4153846153846152
6963,130926,894620.2718,,,,2.410989010989011
6964,130927,894628.0843,,,,2.409523809523809
6965,130928,894635.8968,,,,2.409523809523809
6966,130929,894643.7093,,,,2.406593406593406
6967,130930,894651.5218,,,,2.405128205128205
6968,130931,894659.3343,,,,2.403663003663004
6969,130932,894667.1468,,,,2.403663003663004
6970,130933,894674.5552,,,BuzzWireHit,
6971,130934,894674.9593,,,,2.4007326007326006
6972,130935,894682.7718,,,,2.4007326007326006
6973,130936,894690.5843,,,,2.3978021978021973
6974,130937,894698.3968,,,,2.3978021978021973
6975,130938,894702.4826,,,BuzzWireHit,
6976,130939,894706.2093,,,,2.3948717948717944
6977,130940,894714.0218,,,,2.3934065934065933
6978,130941,894716.4317,,,BuzzWireHit,
6979,130942,894721.8343,,,,2.391941391941392
6980,130943,894729.6468,,,,2.391941391941392
6981,130944,894737.4593,,,,2.389010989010989
6982,130945,894744.3569,,,BuzzWireHit,
6983,130946,894745.2718,,,,2.3875457875457875
6984,130947,894753.0843,,,,2.3860805860805856
6985,130948,894758.3741,,,BuzzWireHit,
6986,130949,894760.8968,,,,2.384615384615384
6987,130950,894768.7093,,,,2.3831501831501827
6988,130951,894772.3353,,,BuzzWireHit,
